<X> <Y>
6.742622241778342e-03 9.660058663718673e+11
6.789406812696112e-03 9.653975651387983e+11
6.836516004510238e-03 9.647811623612794e+11
6.883952069645496e-03 9.641565553632815e+11
6.931717276155407e-03 9.635236403143683e+11
6.979813907830660e-03 9.628823122209695e+11
7.028244264308352e-03 9.622324649177223e+11
7.077010661181890e-03 9.615739910588889e+11
7.126115430111745e-03 9.609067821098534e+11
7.175560918936928e-03 9.602307283387058e+11
7.225349491787214e-03 9.595457188079193e+11
7.275483529196233e-03 9.588516413661265e+11
7.325965428215230e-03 9.581483826400010e+11
7.376797602527731e-03 9.574358280262538e+11
7.427982482564918e-03 9.567138616837460e+11
7.479522515621821e-03 9.559823665257334e+11
7.531420165974375e-03 9.552412242122422e+11
7.583677914997190e-03 9.544903151425872e+11
7.636298261282242e-03 9.537295184480436e+11
7.689283720758313e-03 9.529587119846733e+11
7.742636826811269e-03 9.521777723263218e+11
7.796360130405237e-03 9.513865747577876e+11
7.850456200204510e-03 9.505849932681801e+11
7.904927622696420e-03 9.497729005444674e+11
7.959777002314986e-03 9.489501679652312e+11
8.015006961565405e-03 9.481166655946326e+11
8.070620141149508e-03 9.472722621766021e+11
8.126619200091946e-03 9.464168251292631e+11
8.183006815867389e-03 9.455502205395996e+11
8.239785684528520e-03 9.446723131583788e+11
8.296958520834907e-03 9.437829663953407e+11
8.354528058382871e-03 9.428820423146654e+11
8.412497049736118e-03 9.419694016307296e+11
8.470868266557402e-03 9.410449037041650e+11
8.529644499741026e-03 9.401084065382334e+11
8.588828559546249e-03 9.391597667755248e+11
8.648423275731726e-03 9.381988396949996e+11
8.708431497690725e-03 9.372254792093845e+11
8.768856094587427e-03 9.362395378629327e+11
8.829699955494092e-03 9.352408668295706e+11
8.890965989529159e-03 9.342293159114381e+11
8.952657125996400e-03 9.332047335378418e+11
9.014776314524917e-03 9.321669667646357e+11
9.077326525210224e-03 9.311158612740422e+11
9.140310748756233e-03 9.300512613749336e+11
9.203731996618222e-03 9.289730100035911e+11
9.267593301146883e-03 9.278809487249500e+11
9.331897715733239e-03 9.267749177343610e+11
9.396648314954691e-03 9.256547558598745e+11
9.461848194722003e-03 9.245203005650726e+11
9.527500472427290e-03 9.233713879524641e+11
9.593608287093146e-03 9.222078527674633e+11
9.660174799522647e-03 9.210295284029709e+11
9.727203192450537e-03 9.198362469045780e+11
9.794696670695395e-03 9.186278389764122e+11
9.862658461312821e-03 9.174041339876495e+11
9.931091813749801e-03 9.161649599797087e+11
1.000000000000000e-02 9.149101436741547e+11
1.006938631476028e-02 9.136395104813293e+11
1.013925407558815e-02 9.123528845097362e+11
1.020960662306047e-02 9.110500885761985e+11
1.028044732093309e-02 9.097309442168175e+11
1.035177955630176e-02 9.083952716987527e+11
1.042360673976402e-02 9.070428900328499e+11
1.049593230558228e-02 9.056736169871448e+11
1.056875971184804e-02 9.042872691012610e+11
1.064209244064724e-02 9.028836617017363e+11
1.071593399822671e-02 9.014626089183000e+11
1.079028791516184e-02 9.000239237011289e+11
1.086515774652538e-02 8.985674178391096e+11
1.094054707205742e-02 8.970929019791376e+11
1.101645949633656e-02 8.956001856464784e+11
1.109289864895223e-02 8.940890772662242e+11
1.116986818467823e-02 8.925593841858717e+11
1.124737178364752e-02 8.910109126990543e+11
1.132541315152811e-02 8.894434680704607e+11
1.140399601970032e-02 8.878568545619659e+11
1.148312414543511e-02 8.862508754600149e+11
1.156280131207376e-02 8.846253331042834e+11
1.164303132920877e-02 8.829800289176536e+11
1.172381803286598e-02 8.813147634375382e+11
1.180516528568805e-02 8.796293363485833e+11
1.188707697711903e-02 8.779235465167905e+11
1.196955702359043e-02 8.761971920250876e+11
1.205260936870843e-02 8.744500702103865e+11
1.213623798344241e-02 8.726819777021647e+11
1.222044686631488e-02 8.708927104626049e+11
1.230524004359262e-02 8.690820638283318e+11
1.239062156947916e-02 8.672498325537832e+11
1.247659552630870e-02 8.653958108562507e+11
1.256316602474121e-02 8.635197924626339e+11
1.265033720395903e-02 8.616215706579402e+11
1.273811323186478e-02 8.597009383355748e+11
1.282649830528061e-02 8.577576880494601e+11
1.291549665014884e-02 8.557916120680183e+11
1.300511252173409e-02 8.538025024300670e+11
1.309535020482667e-02 8.517901510026617e+11
1.318621401394749e-02 8.497543495409271e+11
1.327770829355430e-02 8.476948897499233e+11
1.336983741824947e-02 8.456115633485802e+11
1.346260579298910e-02 8.435041621357509e+11
1.355601785329368e-02 8.413724780584192e+11
1.365007806546014e-02 8.392163032821069e+11
1.374479092677537e-02 8.370354302635229e+11
1.384016096573132e-02 8.348296518254965e+11
1.393619274224143e-02 8.325987612342346e+11
1.403289084785873e-02 8.303425522789528e+11
1.413025990599534e-02 8.280608193539130e+11
1.422830457214353e-02 8.257533575429202e+11
1.432702953409831e-02 8.234199627063120e+11
1.442643951218158e-02 8.210604315704921e+11
1.452653925946780e-02 8.186745618200402e+11
1.462733356201130e-02 8.162621521924502e+11
1.472882723907503e-02 8.138230025755302e+11
1.483102514336104e-02 8.113569141075120e+11
1.493393216124252e-02 8.088636892799058e+11
1.503755321299738e-02 8.063431320431450e+11
1.514189325304352e-02 8.037950479150576e+11
1.524695727017574e-02 8.012192440922064e+11
1.535275028780423e-02 7.986155295641345e+11
1.545927736419478e-02 7.959837152305552e+11
1.556654359271061e-02 7.933236140215240e+11
1.567455410205595e-02 7.906350410206255e+11
1.578331405652117e-02 7.879178135912170e+11
1.589282865622978e-02 7.851717515057544e+11
1.600310313738701e-02 7.823966770782416e+11
1.611414277253019e-02 7.795924152998286e+11
1.622595287078087e-02 7.767587939775925e+11
1.633853877809861e-02 7.738956438765284e+11
1.645190587753663e-02 7.710027988647791e+11
1.656605958949914e-02 7.680800960621241e+11
1.668100537200059e-02 7.651273759917612e+11
1.679674872092653e-02 7.621444827353914e+11
1.691329517029648e-02 7.591312640916316e+11
1.703065029252844e-02 7.560875717377783e+11
1.714881969870540e-02 7.530132613949258e+11
1.726780903884356e-02 7.499081929964597e+11
1.738762400216250e-02 7.467722308599326e+11
1.750827031735724e-02 7.436052438623312e+11
1.762975375287206e-02 7.404071056187371e+11
1.775208011717635e-02 7.371776946643821e+11
1.787525525904235e-02 7.339168946400980e+11
1.799928506782476e-02 7.306245944811538e+11
1.812417547374237e-02 7.273006886094707e+11
1.824993244816153e-02 7.239450771292054e+11
1.837656200388171e-02 7.205576660256798e+11
1.850407019542302e-02 7.171383673676387e+11
1.863246311931560e-02 7.136870995128113e+11
1.876174691439120e-02 7.102037873167443e+11
1.889192776207666e-02 7.066883623448739e+11
1.902301188668945e-02 7.031407630877957e+11
1.915500555573528e-02 6.995609351796873e+11
1.928791508020778e-02 6.959488316198365e+11
1.942174681489026e-02 6.923044129972146e+11
1.955650715865949e-02 6.886276477180394e+11
1.969220255479173e-02 6.849185122362542e+11
1.982883949127071e-02 6.811769912868518e+11
1.996642450109793e-02 6.774030781219658e+11
2.010496416260498e-02 6.735967747496343e+11
2.024446509976804e-02 6.697580921751516e+11
2.038493398252463e-02 6.658870506448998e+11
2.052637752709252e-02 6.619836798925510e+11
2.066880249629082e-02 6.580480193875298e+11
2.081221569986338e-02 6.540801185856030e+11
2.095662399480433e-02 6.500800371814722e+11
2.110203428568596e-02 6.460478453632191e+11
2.124845352498883e-02 6.419836240684602e+11
2.139588871343422e-02 6.378874652420485e+11
2.154434690031883e-02 6.337594720951517e+11
2.169383518385185e-02 6.295997593655345e+11
2.184436071149427e-02 6.254084535788505e+11
2.199593068030075e-02 6.211856933107484e+11
2.214855233726359e-02 6.169316294495856e+11
2.230223297965938e-02 6.126464254595255e+11
2.245697995539774e-02 6.083302576437947e+11
2.261280066337278e-02 6.039833154078519e+11
2.276970255381680e-02 5.996058015222223e+11
2.292769312865650e-02 5.951979323847297e+11
2.308677994187169e-02 5.907599382818513e+11
2.324697059985648e-02 5.862920636489071e+11
2.340827276178293e-02 5.817945673287848e+11
2.357069413996728e-02 5.772677228288870e+11
2.373424250023868e-02 5.727118185759730e+11
2.389892566231049e-02 5.681271581685615e+11
2.406475150015424e-02 5.635140606265376e+11
2.423172794237599e-02 5.588728606376066e+11
2.439986297259550e-02 5.542039088002094e+11
2.456916462982791e-02 5.495075718625128e+11
2.473964100886813e-02 5.447842329570710e+11
2.491130026067789e-02 5.400342918307343e+11
2.508415059277540e-02 5.352581650693816e+11
2.525820026962785e-02 5.304562863170221e+11
2.543345761304650e-02 5.256291064888130e+11
2.560993100258458e-02 5.207770939775177e+11
2.578762887593801e-02 5.159007348529150e+11
2.596655972934871e-02 5.110005330536667e+11
2.614673211801092e-02 5.060770105711191e+11
2.632815465648021e-02 5.011307076245184e+11
2.651083601908538e-02 4.961621828270974e+11
2.669478494034321e-02 4.911720133424767e+11
2.688001021537606e-02 4.861607950308201e+11
2.706652070033241e-02 4.811291425841586e+11
2.725432531281029e-02 4.760776896502957e+11
2.744343303228364e-02 4.710070889446907e+11
2.763385290053170e-02 4.659180123497032e+11
2.782559402207124e-02 4.608111510005782e+11
2.801866556459195e-02 4.556872153575312e+11
2.821307675939472e-02 4.505469352632926e+11
2.840883690183302e-02 4.453910599854513e+11
2.860595535175742e-02 4.402203582429415e+11
2.880444153396296e-02 4.350356182159987e+11
2.900430493863992e-02 4.298376475389061e+11
2.920555512182747e-02 4.246272732748511e+11
2.940820170587062e-02 4.194053418722031e+11
2.961225437988034e-02 4.141727191015182e+11
2.981772290019672e-02 4.089302899725828e+11
3.002461709085549e-02 4.036789586307889e+11
3.023294684405778e-02 3.984196482321560e+11
3.044272212064303e-02 3.931533007962936e+11
3.065395295056527e-02 3.878808770366202e+11
3.086664943337273e-02 3.826033561671399e+11
3.108082173869064e-02 3.773217356851041e+11
3.129648010670752e-02 3.720370311288699e+11
3.151363484866479e-02 3.667502758102968e+11
3.173229634734976e-02 3.614625205210189e+11
3.195247505759212e-02 3.561748332119519e+11
3.217418150676372e-02 3.508882986454060e+11
3.239742629528197e-02 3.456040180191890e+11
3.262222009711670e-02 3.403231085621100e+11
3.284857366030044e-02 3.350467031003091e+11
3.307649780744241e-02 3.297759495938680e+11
3.330600343624589e-02 3.245120106431785e+11
3.353710152002930e-02 3.192560629645753e+11
3.376980310825092e-02 3.140092968347721e+11
3.400411932703706e-02 3.087729155036768e+11
3.424006137971424e-02 3.035481345751892e+11
3.447764054734464e-02 2.983361813556412e+11
3.471686818926562e-02 2.931382941695601e+11
3.495775574363275e-02 2.879557216425044e+11
3.520031472796679e-02 2.827897219507520e+11
3.544455673970433e-02 2.776415620376844e+11
3.569049345675230e-02 2.725125167967624e+11
3.593813663804628e-02 2.674038682210433e+11
3.618749812411280e-02 2.623169045192574e+11
3.643858983763545e-02 2.572529191985235e+11
3.669142378402492e-02 2.522132101138524e+11
3.694601205199302e-02 2.471990784846602e+11
3.720236681413068e-02 2.422118278785828e+11
3.746050032748993e-02 2.372527631629721e+11
3.772042493416997e-02 2.323231894245236e+11
3.798215306190734e-02 2.274244108575783e+11
3.824569722466999e-02 2.225577296217328e+11
3.851107002325571e-02 2.177244446694677e+11
3.877828414589457e-02 2.129258505446181e+11
3.904735236885560e-02 2.081632361525939e+11
3.931828755705769e-02 2.034378835033619e+11
3.959110266468459e-02 1.987510664283094e+11
3.986581073580441e-02 1.941040492722023e+11
4.014242490499322e-02 1.894980855615731e+11
4.042095839796308e-02 1.849344166509747e+11
4.070142453219436e-02 1.804142703486508e+11
4.098383671757262e-02 1.759388595232860e+11
4.126820845702954e-02 1.715093806936220e+11
4.155455334718875e-02 1.671270126028267e+11
4.184288507901582e-02 1.627929147796372e+11
4.213321743847287e-02 1.585082260884085e+11
4.242556430717777e-02 1.542740632703128e+11
4.271993966306779e-02 1.500915194780658e+11
4.301635758106795e-02 1.459616628066580e+11
4.331483223376401e-02 1.418855348226992e+11
4.361537789208003e-02 1.378641490950907e+11
4.391800892596086e-02 1.338984897298555e+11
4.422273980505900e-02 1.299895099120720e+11
4.452958509942655e-02 1.261381304579541e+11
4.483855948021188e-02 1.223452383802340e+11
4.514967772036100e-02 1.186116854701017e+11
4.546295469532399e-02 1.149382868990449e+11
4.577840538376619e-02 1.113258198440341e+11
4.609604486828434e-02 1.077750221395679e+11
4.641588833612779e-02 1.042865909601810e+11
4.673795107992461e-02 1.008611815370843e+11
4.706224849841281e-02 9.749940591266408e+10
4.738879609717653e-02 9.420183173662906e+10
4.771760948938746e-02 9.096898110762590e+10
4.804870439655132e-02 8.780132946418851e+10
